USFS01C BLC Curncy,,1/1/2001,,USFS05C BLC Curncy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,px_mid,6/6/2017,,,px_mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2001,5.1794,,,3/2/2001,6.0884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/2001,5.1808,,,3/5/2001,6.1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2001,5.133,,,3/6/2001,6.1362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2001,5.1052,,,3/7/2001,6.0803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/8/2001,5.1223,,,3/8/2001,6.1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/9/2001,5.2062,,,3/9/2001,6.2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2001,5.1369,,,3/12/2001,6.2169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/13/2001,5.1502,,,3/13/2001,6.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/14/2001,4.9522,,,3/14/2001,6.1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2001,4.8913,,,3/15/2001,6.0817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/16/2001,4.9369,,,3/16/2001,6.0209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/2001,4.9997,,,3/19/2001,6.0604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/20/2001,4.8225,,,3/20/2001,5.9772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2001,4.8323,,,3/21/2001,5.9813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/2001,4.7891,,,3/22/2001,5.9545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/23/2001,4.8693,,,3/23/2001,6.0571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2001,4.9299,,,3/26/2001,6.1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2001,5.0646,,,3/27/2001,6.2441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/2001,4.9569,,,3/28/2001,6.2728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
